signal_period,holding_month,portfolio_id,policy_id,f2r_weight,adaa_weight,weight_basis
2018-11,2018-12,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2018-12,2019-01,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2019-01,2019-02,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2019-02,2019-03,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2019-03,2019-04,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2019-04,2019-05,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2019-05,2019-06,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2019-06,2019-07,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2019-07,2019-08,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2019-08,2019-09,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2019-09,2019-10,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2019-10,2019-11,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2019-11,2019-12,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2019-12,2020-01,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2020-01,2020-02,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2020-02,2020-03,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2020-03,2020-04,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2020-04,2020-05,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2020-05,2020-06,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2020-06,2020-07,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2020-07,2020-08,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2020-08,2020-09,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2020-09,2020-10,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2020-10,2020-11,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2020-11,2020-12,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2020-12,2021-01,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2021-01,2021-02,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2021-02,2021-03,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2021-03,2021-04,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2021-04,2021-05,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2021-05,2021-06,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2021-06,2021-07,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2021-07,2021-08,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2021-08,2021-09,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2021-09,2021-10,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2021-10,2021-11,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2021-11,2021-12,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2021-12,2022-01,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2022-01,2022-02,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2022-02,2022-03,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2022-03,2022-04,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2022-04,2022-05,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2022-05,2022-06,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2022-06,2022-07,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2022-07,2022-08,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2022-08,2022-09,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2022-09,2022-10,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2022-10,2022-11,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2022-11,2022-12,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2022-12,2023-01,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2023-01,2023-02,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2023-02,2023-03,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2023-03,2023-04,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2023-04,2023-05,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2023-05,2023-06,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2023-06,2023-07,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2023-07,2023-08,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2023-08,2023-09,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2023-09,2023-10,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2023-10,2023-11,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2023-11,2023-12,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2023-12,2024-01,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2024-01,2024-02,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2024-02,2024-03,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2024-03,2024-04,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2024-04,2024-05,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2024-05,2024-06,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2024-06,2024-07,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2024-07,2024-08,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2024-08,2024-09,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2024-09,2024-10,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2024-10,2024-11,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2024-11,2024-12,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2024-12,2025-01,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2025-01,2025-02,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2025-02,2025-03,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2025-03,2025-04,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2025-04,2025-05,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2025-05,2025-06,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2025-06,2025-07,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2025-07,2025-08,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2025-08,2025-09,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2025-09,2025-10,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2025-10,2025-11,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2025-11,2025-12,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2025-12,2026-01,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2026-01,2026-02,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2026-02,2026-03,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2026-03,2026-04,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2026-04,2026-05,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2026-05,2026-06,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
2026-06,2026-07,ACTIVE_CORE_F0_EW,F0_EW,0.5,0.5,FIXED_50_50
